4,11,5
4,12,1
4,19,5
4,23,3
4,34,3
4,58,3
4,81,4
12,19,2
12,23,1
12,26,4
12,34,4
12,35,2
12,53,4
12,58,1
12,65,3
13,12,4
13,23,5
13,32,5
13,34,5
13,53,2
13,65,4
13,67,1
13,82,2
10,11,2
10,19,4
10,23,1
10,32,2
10,34,2
10,35,4
9,67,1
10,81,5
5,12,3
5,23,5
5,26,5
5,32,4
5,34,5
5,53,2
5,66,5
5,81,4
8,11,5
8,12,2
8,23,4
8,35,3
8,58,4
8,66,2
8,67,5
8,82,5
9,11,5
9,19,1
9,26,5
9,34,4
9,35,3
9,65,3
9,66,5
9,67,1
9,82,5
7,19,1
7,32,5
7,34,4
7,58,3
7,81,3
7,82,1
6,11,5
6,23,4
6,32,2
6,34,5
6,53,5
6,66,4
6,67,1
6,82,4
14,19,2
14,81,5
